type,cat,lat,lon,R,G,B,color
BK,3,0,0.0,62.78361394938232,71.73938809529848,72.23596285811158,0
BK,4,0,-135.0,54.041735992645584,54.07632853492912,51.55670889237643,0
BK,4,0,0.0,72.01613901635386,67.30956488141102,62.79236896847755,0
BK,4,0,135.0,77.47764675649634,74.16438410684252,72.34117783492894,0
BK,5,0,-45.0,63.69101755390375,62.865620120087804,61.70215010689763,0
BK,5,0,0.0,66.31432753825801,64.44133920859635,61.41233900954611,0
BK,5,0,45.0,103.03028240876196,106.48545047793603,106.8955444525647,0
BK,6,0,0.0,115.4161609458216,108.11075921917899,105.54326897661265,0
BK,6,0,45.0,52.95680540261818,51.88203638748168,50.804030624869064,0
BK,7,0,-90.0,52.25041743803565,51.19389004710858,51.61330146114999,0
BK,7,0,0.0,48.31192805942592,46.12790982534835,46.22831727381629,0
BK,7,0,90.0,62.71124213731936,61.26555888742534,61.231801589974225,0
BK,8,0,-135.0,114.653845076198,112.06881236218214,112.74685452773399,0
BK,8,0,0.0,83.97186168027123,77.34104962049342,74.1176437141012,0
BK,1,-90,180.0,54.381044468995576,41.86026862932449,38.27514422147976,0
BK,1,-90,-180.0,54.381044468995576,41.86026862932449,38.27514422147976,0
BK,1,90,0.0,103.49395960331776,103.05484652689029,90.63815769635261,0
BK,2,0,-90.0,62.28009335516937,59.26688014526304,55.25383649659151,0
BK,2,0,45.0,108.5634392523309,116.56051568217987,124.16705434846473,0
BK,2,0,90.0,45.326099550902555,44.88932695090125,43.70107638824408,0
BW,1,0,-135.0,85.83589589842705,85.46110471547608,79.61828881795327,1
BW,1,0,-45.0,117.60220063182719,115.54815761614817,114.52612852614753,1
BW,1,0,-90.0,98.11982000288607,95.12938617851887,92.41083765672356,1
BW,1,0,0.0,115.09986185769745,112.91327906372888,110.38730083710922,1
BW,1,0,135.0,87.30708982826557,87.15378631379505,86.71515696328173,1
BW,1,0,45.0,113.13706848676725,115.52629671383946,113.94654089253412,1
BW,2,0,-45.0,88.1548615175035,89.75587544551367,92.96202832097865,1
BW,2,0,0.0,120.60167801369569,113.53218897124756,109.94775124224252,1
BW,2,0,135.0,93.69946309392272,91.66165703303845,93.33834599853171,1
BW,3,0,-90.0,131.20265074136645,130.16181102410636,124.6815595856734,1
BW,3,0,0.0,201.34841091530015,196.83215178308814,184.85874819754542,1
BW,3,0,90.0,150.74988250721478,153.04528567682772,147.3922002896146,1
BW,5,0,-90.0,73.27099605636093,71.8267484738455,69.23203349666447,1
BW,5,0,0.0,135.79778078155803,134.86026217307526,133.55186386337772,1
BW,8,0,0.0,121.34355079485489,116.6096595950477,112.77860961853628,1
BW,8,0,90.0,100.26697302176355,99.26428538202497,100.31287176982056,1
BW,9,0,-45.0,118.05282587456217,116.45478090414268,116.19942443128203,1
BW,9,0,45.0,134.55445676179525,132.7357240675428,131.1019790414628,1
BW,10,0,-90.0,108.29856851784845,108.48208746068335,111.06355967431467,1
BW,10,0,0.0,107.1432810579315,108.5265233773336,106.60228383261754,1
BW,10,0,135.0,105.90009214800948,105.76294967987648,107.04303948893119,1
BW,11,0,-90.0,132.8622160395775,129.66848301362137,128.29684833795653,1
BW,11,0,0.0,149.5958168948654,146.38250176763046,143.54459687546534,1
BW,12,0,180.0,56.46597430180346,56.11132792356255,56.08659307469211,1
BW,12,0,-180.0,56.46597430180346,56.11132792356255,56.08659307469211,1
BW,13,0,0.0,91.03829668967497,90.52280439080299,93.45660316924457,1
BW,14,0,-135.0,107.85534840985335,107.83103418513977,109.03048183709424,1
BW,14,0,-45.0,162.56829087881908,160.34127845190946,155.47478745981437,1
BW,15,0,-135.0,88.24612085285715,86.52854672995765,86.61957332790011,1
BW,15,0,135.0,139.73983548833107,138.17606881096933,139.60410022924012,1
BW,15,0,180.0,83.10601444171371,73.2033840311456,74.14705407571668,1
BW,15,0,-180.0,83.10601444171371,73.2033840311456,74.14705407571668,1
BW,15,0,45.0,127.09989410024929,126.63774849142436,127.30113431319067,1
BW,15,0,90.0,95.28329608057864,90.36025010514959,92.3491948200782,1
BW,16,0,-45.0,168.8932745868689,163.42103525236203,158.11552613375915,1
BW,16,0,0.0,154.8556545120733,147.1509565083733,143.66672707740764,1
BW,16,0,135.0,145.12828855543228,139.2180915322181,137.35136348444016,1
BW,17,0,45.0,103.77602936305199,107.13349296629387,117.47932850741998,1
BW,17,0,90.0,99.87524195609049,105.78603983219394,108.79193063711375,1
BW,18,0,-45.0,193.09193369097386,189.49808474979767,180.9614188007213,1
BW,18,0,0.0,181.86075456518037,177.0935755482731,167.89285545043577,1
BW,18,0,135.0,120.87104624362014,120.25868481806174,119.5860733254017,1
BW,19,0,-45.0,62.9890411616852,59.355286106458124,62.28041066245968,1
BW,19,0,0.0,81.35158921915702,78.8923796737606,78.77121507897387,1
BW,20,0,0.0,80.48051244359472,75.95165527004013,79.22170734622665,1
BW,21,0,-135.0,94.3850496419141,97.22140700008838,98.48223909652255,1
BW,22,0,180.0,84.82958453663751,83.06674689446905,81.07608397422048,1
BW,22,0,-180.0,84.82958453663751,83.06674689446905,81.07608397422048,1
BW,22,0,90.0,170.50952081883432,167.02180065438645,161.42445545886838,1
BW,23,0,-45.0,139.8286444041747,131.94593384434697,118.92751907449473,1
BW,23,0,0.0,184.04774775953192,174.53620902986202,165.82173514755917,1
BW,23,0,180.0,96.33550324080466,88.29648477511621,81.28439998697642,1
BW,23,0,-180.0,96.33550324080466,88.29648477511621,81.28439998697642,1
BW,24,0,-45.0,145.1648364158173,144.34706348293145,143.23623701671002,1
BW,24,0,0.0,145.5278409299663,144.97910208741567,141.23379979409455,1
BW,25,0,-135.0,129.12819642992343,130.52242039625935,127.36334660780754,1
BW,25,0,-45.0,169.82870045857268,169.77493211145213,168.6270957369417,1
BW,25,0,45.0,148.32007691616326,142.64326554674156,145.81231565531567,1
BW,26,0,-45.0,167.50522268969985,165.7237844344193,167.37361263049095,1
BW,26,0,-90.0,144.50485454341847,145.13710913004624,145.8510791400106,1
CL,5,0,0.0,207.11818132121053,203.8493816219907,194.55681962621517,2
CL,5,0,180.0,164.42032139609196,163.97945142316158,159.27205273774698,2
CL,5,0,-180.0,164.42032139609196,163.97945142316158,159.27205273774698,2
CL,5,0,90.0,177.5266102586707,172.15715609880448,165.60640029918147,2
CL,6,0,0.0,173.7022351750636,168.72300535280493,164.14930459592935,2
CL,6,0,45.0,157.71509988349734,151.8160091895987,145.07502810455395,2
CL,7,0,-45.0,194.40723368848228,174.38910066973943,161.19858429932964,2
CL,7,0,-90.0,165.1193901232319,150.37332215025637,140.25238152247096,2
CL,7,0,0.0,192.3083074148004,189.4039135243402,187.59026133765155,2
CL,7,0,90.0,193.7267778539129,186.0868716374382,179.0630719967803,2
CL,8,0,-45.0,138.66451163185423,125.98012669298272,119.45753584890817,2
CL,9,0,0.0,111.47682267433562,124.96969151923862,124.92458985502928,2
CL,10,0,0.0,144.3609595371632,127.54778084397319,114.24262899180543,2
CL,11,0,0.0,154.30405855819768,151.9154748807138,147.28314284654738,2
CL,12,0,45.0,183.52514523718597,193.2313528958778,190.78001028332997,2
CL,13,0,-135.0,142.49169409184012,129.7759589525273,121.91304331959141,2
CL,13,0,0.0,154.41109567768297,149.62931887756346,148.20746026714025,2
CL,13,0,45.0,167.22166845204703,166.61645571013247,165.83657015358585,2
CL,14,0,0.0,200.40865656884807,198.11739078636361,196.2936024916263,2
CL,15,0,-45.0,175.45568341241633,161.62173527233065,150.4605880766895,2
CL,15,0,0.0,200.71151459915782,189.86154631752916,183.4122246062065,2
CL,16,0,135.0,148.2690430598354,143.97224663780597,135.05081908371346,2
CL,17,0,45.0,173.64487436129056,169.21456988957965,156.9509769454644,2
CL,17,0,90.0,158.62251226076913,151.68352459046795,145.857868777024,2
CL,18,0,0.0,168.2819240991536,162.0738624217007,158.27211966854836,2
CL,18,0,180.0,126.25514897861815,119.757242585252,110.53377773512317,2
CL,18,0,-180.0,126.25514897861815,119.757242585252,110.53377773512317,2
CL,19,0,0.0,175.5937176062547,174.4677985352233,172.53824626668373,2
CL,19,0,135.0,168.90155686261932,164.67487938684252,160.6581251796461,2
CL,19,0,180.0,92.13807356191514,80.39672850081716,70.67262043366524,2
CL,19,0,-180.0,92.13807356191514,80.39672850081716,70.67262043366524,2
CL,1,0,-135.0,172.41843986464318,159.25982125675714,144.35537923460615,2
CL,1,0,-45.0,187.12227698340388,171.88791068979717,149.1488972261418,2
CL,1,0,-90.0,152.91992461122942,141.66321983941646,127.58700916361333,2
CL,1,0,0.0,184.3132778634722,178.34295882881423,172.45664581110321,2
CL,1,0,135.0,167.5295509837568,165.32582289067994,147.39631798143523,2
CL,1,0,180.0,117.1417770370397,128.36087215362005,119.36498961606097,2
CL,1,0,-180.0,117.1417770370397,128.36087215362005,119.36498961606097,2
CL,1,0,45.0,174.6593332925615,166.29121858619982,157.5676069031255,2
CL,1,0,90.0,161.7954432438023,149.87594222546088,135.26401483373692,2
CL,20,0,-90.0,138.7447020286904,131.60144841584415,120.18636507727253,2
CL,20,0,0.0,162.58160978996185,148.88174656451318,135.68196692046155,2
CL,21,0,180.0,142.67481209648898,114.58955881426127,81.70228814986535,2
CL,21,0,-180.0,142.67481209648898,114.58955881426127,81.70228814986535,2
CL,22,0,0.0,149.95507055068052,142.86480581628066,139.30512583014809,2
CL,22,0,135.0,136.35738781996264,119.13455523934229,103.23371259383386,2
CL,23,0,0.0,177.912448063889,170.5702802166421,156.42735727815418,2
CL,23,0,135.0,141.73274682172888,129.1154896592292,115.59411502947815,2
CL,23,0,180.0,94.06148675532205,85.77414477820093,79.71221639265292,2
CL,23,0,-180.0,94.06148675532205,85.77414477820093,79.71221639265292,2
